Time resolution is 1 ps
Time: 0 | PC: 00000000 | Instruction: 00a00093 | RegWrite: 1 | ALUResult: 0000000a
Time: 15000 | PC: 00000004 | Instruction: 01400113 | RegWrite: 1 | ALUResult: 00000014
Time: 25000 | PC: 00000008 | Instruction: 01e00193 | RegWrite: 1 | ALUResult: 0000001e
Time: 35000 | PC: 0000000c | Instruction: 02800213 | RegWrite: 1 | ALUResult: 00000028
Time: 45000 | PC: 00000010 | Instruction: 03200293 | RegWrite: 1 | ALUResult: 00000032
Time: 55000 | PC: 00000014 | Instruction: 03c00313 | RegWrite: 1 | ALUResult: 0000003c
Time: 65000 | PC: 00000018 | Instruction: 04600393 | RegWrite: 1 | ALUResult: 00000046
Time: 75000 | PC: 0000001c | Instruction: 05000413 | RegWrite: 1 | ALUResult: 00000050
Time: 85000 | PC: 00000020 | Instruction: 05a00493 | RegWrite: 1 | ALUResult: 0000005a
Time: 95000 | PC: 00000024 | Instruction: 06400513 | RegWrite: 1 | ALUResult: 00000064
Time: 105000 | PC: 00000028 | Instruction: 06e00593 | RegWrite: 1 | ALUResult: 0000006e
Time: 115000 | PC: 0000002c | Instruction: 07800613 | RegWrite: 1 | ALUResult: 00000078
Time: 125000 | PC: 00000030 | Instruction: 08200693 | RegWrite: 1 | ALUResult: 00000082
Time: 135000 | PC: 00000034 | Instruction: 08c00713 | RegWrite: 1 | ALUResult: 0000008c
Time: 145000 | PC: 00000038 | Instruction: 09600793 | RegWrite: 1 | ALUResult: 00000096
Time: 155000 | PC: 0000003c | Instruction: 0a000813 | RegWrite: 1 | ALUResult: 000000a0
Time: 165000 | PC: 00000040 | Instruction: 0aa00893 | RegWrite: 1 | ALUResult: 000000aa
Time: 175000 | PC: 00000044 | Instruction: 0b400913 | RegWrite: 1 | ALUResult: 000000b4
Time: 185000 | PC: 00000048 | Instruction: 0be00993 | RegWrite: 1 | ALUResult: 000000be
Time: 195000 | PC: 0000004c | Instruction: 0c800a13 | RegWrite: 1 | ALUResult: 000000c8
Time: 205000 | PC: 00000050 | Instruction: 0d200a93 | RegWrite: 1 | ALUResult: 000000d2
Time: 215000 | PC: 00000054 | Instruction: 0dc00b13 | RegWrite: 1 | ALUResult: 000000dc
Time: 225000 | PC: 00000058 | Instruction: 0e600b93 | RegWrite: 1 | ALUResult: 000000e6
Time: 235000 | PC: 0000005c | Instruction: 0f000c13 | RegWrite: 1 | ALUResult: 000000f0
Time: 245000 | PC: 00000060 | Instruction: 0fa00c93 | RegWrite: 1 | ALUResult: 000000fa
Time: 255000 | PC: 00000064 | Instruction: 10400d13 | RegWrite: 1 | ALUResult: 00000104
Time: 265000 | PC: 00000068 | Instruction: 10e00d93 | RegWrite: 1 | ALUResult: 0000010e
Time: 275000 | PC: 0000006c | Instruction: 11800e13 | RegWrite: 1 | ALUResult: 00000118
Time: 285000 | PC: 00000070 | Instruction: 12200e93 | RegWrite: 1 | ALUResult: 00000122
Time: 295000 | PC: 00000074 | Instruction: 12c00f13 | RegWrite: 1 | ALUResult: 0000012c
Time: 305000 | PC: 00000078 | Instruction: 13600f93 | RegWrite: 1 | ALUResult: 00000136
Time: 315000 | PC: 0000007c | Instruction: 00208fb3 | RegWrite: 1 | ALUResult: 0000001e
Time: 325000 | PC: 00000080 | Instruction: 40418f33 | RegWrite: 1 | ALUResult: fffffff6
Time: 335000 | PC: 00000084 | Instruction: 0062feb3 | RegWrite: 1 | ALUResult: 00000030
Time: 345000 | PC: 00000088 | Instruction: 0083ee33 | RegWrite: 1 | ALUResult: 00000056
Time: 355000 | PC: 0000008c | Instruction: 00a4adb3 | RegWrite: 1 | ALUResult: 00000040
Time: 365000 | PC: 00000090 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 375000 | PC: 00000094 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 385000 | PC: 00000098 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 395000 | PC: 0000009c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 405000 | PC: 000000a0 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 415000 | PC: 000000a4 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 425000 | PC: 000000a8 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 435000 | PC: 000000ac | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 445000 | PC: 000000b0 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 455000 | PC: 000000b4 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
